index,Score,Score Rank,Percentile,Percentile Rank
PAK6,2.0822,1,95.22,1
NIM1,1.1401,2,95.2,2
LKB1,0.2985,7,95.01,3
PAK4,0.9736,3,93.25,4
MASTL,0.1711,10,92.41,5
PAK5,0.8865,4,92.25,6
PRPK,0.4096,5,90.83,7
BRAF,-0.3498,27,90.12,8
TTBK1,-0.3107,25,89.45,9
YSK1,-1.2069,75,89.06,10
TTBK2,0.3059,6,89.05,11
CK1G1,0.2327,9,88.02,12
MPSK1,0.2683,8,86.38,13
PDHK4,0.1551,11,86.32,14
BCKDK,-0.4961,35,85.92,15
MST3,-0.4657,33,85.43,16
PAK3,-0.0901,18,83.3,17
PLK4,-1.4309,103,83.25,18
IRAK1,-1.0638,66,82.7,19
NDR1,0.0892,13,82.5,20
NEK4,-1.2338,79,82.32,21
MEKK2,-1.0374,65,81.09,22
DNAPK,-0.1377,20,80.67,23
AKT3,-1.0025,62,80.66,24
NEK3,-1.4994,112,80.65,25
QIK,-0.6003,42,80.18,26
RIPK3,-0.6911,47,79.42,27
RSK3,-0.2218,24,79.29,28
WNK1,-0.014,17,79.22,29
SIK,-0.8046,52,79.12,30
IRAK4,-0.7317,50,78.96,31
PKN1,-1.4728,109,78.72,32
PAK1,-0.4756,34,78.63,33
AMPKA1,-0.1641,23,78.49,34
PAK2,-0.813,54,78.3,35
RSK2,0.0421,14,78.22,36
SGK3,-0.4039,28,77.77,37
MRCKB,-1.2437,82,77.71,38
AMPKA2,-0.3466,26,77.32,39
PKG1,-2.6587,218,76.81,40
HUNK,-0.8311,55,76.55,41
MARK4,-0.6096,43,76.44,42
CRIK,-1.8138,137,76.28,43
MEKK1,-1.2597,86,75.8,44
DSTYK,-0.4224,30,75.09,45
HGK,-1.942,151,75.05,46
NEK1,-1.9939,158,74.87,47
RIPK1,-0.7026,48,74.8,48
AKT1,-1.3191,93,74.37,49
NEK2,-0.6859,46,74.32,50
PKACB,-1.2449,83,74.26,51
PKCT,-1.4917,111,74.15,52
P90RSK,-0.4086,29,74.05,53
PKCG,-1.2518,84,73.41,54
QSK,-1.2118,76,73.41,54
MAP3K15,-2.0309,160,73.41,54
CAMKK2,-2.5665,210,73.33,57
CK1A2,0.0311,15,72.85,58
ALK4,-0.5463,37,72.34,59
DMPK1,-2.355,189,72.33,60
DCAMKL2,-1.1419,71,72.3,61
STK33,-1.9047,147,72.24,62
AKT2,-1.1721,72,72.16,63
MEKK3,-1.3567,97,72.04,64
PKACA,-2.1342,167,71.73,65
PKG2,-1.6913,126,71.25,66
PKN2,-1.0724,67,71.07,67
MRCKA,-1.9158,150,70.96,68
P70S6K,-1.8183,139,70.87,69
PHKG2,-2.5422,208,70.79,70
AURC,-1.691,125,70.76,71
P70S6KB,-0.6822,45,70.58,72
WNK4,-1.2391,80,70.4,73
NUAK1,-1.5263,116,70.37,74
SGK1,-1.68,123,69.84,75
ULK2,-1.0884,68,69.71,76
PKCA,-1.3494,96,69.44,77
CAMKK1,-2.1357,168,69.43,78
MYO3A,-3.5782,280,69.41,79
PIM2,-1.1743,73,69.29,80
MST4,-1.0306,64,69.23,81
ZAK,-1.9013,146,69.19,82
SMMLCK,-1.7045,129,69.07,83
PKACG,-1.4494,107,68.8,84
MELK,-1.2615,87,68.77,85
COT,0.13,12,68.3,86
ASK1,-3.7428,283,68.05,87
ULK1,-1.969,156,67.75,88
HPK1,-2.4502,200,67.33,89
MNK1,-1.7159,131,67.1,90
RAF1,-0.5482,38,67.02,91
PKCB,-1.7286,132,66.54,92
RSK4,-1.5092,113,66.42,93
PKCI,-2.1165,164,66.23,94
CDK19,-0.4294,32,66.04,95
LATS2,-1.3061,92,66.04,95
PKCH,-1.9424,152,65.92,97
CAMK2D,-0.8324,56,65.76,98
SNRK,-2.7421,227,65.7,99
SMG1,-1.3663,98,65.66,100
TNIK,-2.424,198,65.41,101
SBK,-1.633,122,65.36,102
PDK1,-1.8985,145,64.99,103
JNK2,-0.1473,21,64.73,104
KHS1,-2.6219,214,64.53,105
NEK9,-1.118,69,64.39,106
MNK2,-1.3194,94,64.31,107
MEKK6,-3.5394,278,64.27,108
PBK,-3.1743,256,63.84,109
EEF2K,-2.7681,231,63.8,110
PKCD,-1.2674,88,63.72,111
CDK16,-0.9365,59,63.69,112
MEK5,-1.8139,138,63.69,112
MARK1,-2.3955,192,63.61,114
GCN2,-1.605,118,63.6,115
CK1A,-0.9498,60,63.55,116
ULK3,-2.4679,201,63.53,117
CDK8,-0.6674,44,62.84,118
CDK17,-1.1937,74,62.72,119
MAPKAPK5,-2.3193,183,62.63,120
ROCK1,-3.3633,269,62.5,121
MARK3,-2.4945,204,62.4,122
CDK7,-0.5511,39,62.36,123
MTOR,-0.1611,22,62.12,124
MSK2,-2.0066,159,62.07,125
MEK2,-3.2168,258,62.01,126
NDR2,-1.1321,70,61.96,127
PHKG1,-2.2142,173,61.84,128
NIK,-0.4252,31,61.17,129
LOK,-2.697,221,60.77,130
HIPK3,-0.0062,16,60.67,131
CDC7,-0.9066,58,60.4,132
TBK1,-1.5094,115,60.39,133
ROCK2,-2.8682,241,60.2,134
MEK1,-1.4408,105,60.18,135
CAMK1A,-3.2187,259,60.16,136
PKCE,-2.7898,234,60.12,137
MINK,-3.148,253,60.07,138
MYLK4,-2.3388,187,60.02,139
MYO3B,-3.9193,290,59.7,140
NEK11,-2.4236,196,59.62,141
MARK2,-2.4838,203,59.48,142
BRSK2,-2.8139,237,59.4,143
CDK14,-1.0027,63,58.4,144
YANK2,-1.7152,130,58.22,145
PDHK1,-0.9959,61,58.0,146
CAMK1G,-2.6695,219,57.97,147
CAMK1B,-0.5823,41,57.78,148
TGFBR2,-1.7982,136,57.77,149
MSK1,-2.3252,185,57.61,150
CK1E,-0.7046,49,57.59,151
DCAMKL1,-1.62,119,57.04,152
TSSK4,-1.4425,106,57.03,153
TLK1,-2.2375,176,56.95,154
KHS2,-3.212,257,56.93,155
CHAK1,-2.1857,172,56.5,156
CDK18,-1.3865,101,56.44,157
CHK2,-3.1583,255,56.44,157
AURB,-2.9425,244,56.36,159
CAMK4,-2.4238,197,56.27,160
CAMLCK,-0.8788,57,56.16,161
IKKA,-1.7006,128,56.13,162
CDKL1,-0.5396,36,56.05,163
GRK7,-2.7616,229,56.04,164
MLK2,-1.3721,99,55.78,165
CHAK2,-1.5535,117,55.77,166
SKMLCK,-2.8318,240,55.39,167
IRE2,-2.3553,190,55.06,168
MST1,-2.8106,236,55.04,169
NUAK2,-1.422,102,55.01,170
WNK2,-1.4535,108,54.56,171
ATR,-0.5683,40,54.17,172
TAO2,-2.634,215,53.81,173
GCK,-2.8818,242,53.23,174
NEK5,-2.2742,177,52.7,175
FAM20C,-3.3499,268,52.44,176
CK1D,-2.2361,175,52.15,177
LATS1,-1.2171,77,52.05,178
RIPK2,-4.0587,293,51.96,179
IRE1,-2.4009,193,51.92,180
HASPIN,-3.8409,289,51.75,181
PKCZ,-2.287,178,51.47,182
CDK10,-2.3494,188,51.37,183
WNK3,-1.9541,153,51.33,184
JNK1,-1.5092,113,51.22,185
P38A,-1.3002,91,50.15,186
ACVR2A,-1.8878,144,49.11,187
CDKL2,-1.7359,133,48.95,188
CHK1,-1.9151,149,48.65,189
NEK8,-3.0033,248,48.43,190
ERK1,-1.9541,153,48.3,191
PINK1,-1.6321,121,48.19,192
CK1G2,-2.0625,162,48.16,193
TAO1,-4.4037,296,48.08,194
HRI,-2.4017,194,47.98,195
CAMK1D,-3.2768,263,47.9,196
PRKX,-4.023,292,47.44,197
ICK,-2.9954,247,47.31,198
KIS,-1.9623,155,47.06,199
ERK2,-1.8504,141,46.94,200
TSSK1,-2.536,207,46.66,201
PRKD3,-2.6476,217,46.36,202
CDK5,-2.4736,202,45.9,203
TLK2,-2.143,169,45.53,204
ERK5,-1.2241,78,45.44,205
GRK4,-1.6219,120,45.44,205
TGFBR1,-1.4736,110,45.19,207
YANK3,-1.3379,95,44.8,208
DAPK3,-3.5203,276,44.78,209
P38G,-2.2989,180,44.5,210
BUB1,-3.8145,287,44.43,211
DAPK1,-3.4854,273,44.24,212
CDK2,-2.7207,223,44.19,213
CDK6,-2.781,232,44.19,213
P38B,-2.2297,174,44.1,215
HIPK4,-1.2938,90,44.1,215
MOK,-2.5964,213,43.79,217
PLK2,-3.2556,262,43.43,218
MAPKAPK3,-2.5843,211,43.27,219
PERK,-2.7276,224,43.01,220
BRSK1,-3.8231,288,42.82,221
CDK9,-2.4037,195,42.57,222
IKKE,-2.5039,205,42.42,223
MST2,-3.8021,285,42.37,224
PRKD1,-2.3289,186,42.01,225
HIPK1,-1.6885,124,41.91,226
SSTK,-4.063,294,41.75,227
PRKD2,-2.9642,246,41.73,228
CAMK2G,-1.2934,89,41.46,229
JNK3,-1.7911,135,40.74,230
TSSK2,-2.7891,233,40.56,231
ANKRD3,-2.059,161,40.42,232
GSK3B,-0.109,19,40.11,233
MLK4,-3.4897,274,39.74,234
MLK1,-2.289,179,39.14,235
GRK6,-1.6981,127,38.99,236
NEK7,-2.7505,228,38.87,237
CDK3,-4.7826,300,38.86,238
PIM1,-2.1767,171,38.73,239
NEK6,-2.6439,216,38.56,240
CDKL5,-1.8495,140,38.48,241
PIM3,-1.8726,143,38.32,242
TAK1,-4.2574,295,37.99,243
TAO3,-2.7311,225,37.83,244
CAMK2B,-2.7029,222,37.81,245
DRAK1,-2.5142,206,37.74,246
ACVR2B,-2.4416,199,37.71,247
LRRK2,-3.5062,275,37.66,248
MAK,-3.2832,264,37.46,249
YSK4,-2.8272,239,36.85,250
CLK3,-1.754,134,36.76,251
ERK7,-3.4729,272,36.42,252
DYRK2,-2.1556,170,36.37,253
DYRK3,-3.1471,252,35.5,254
DYRK1B,-2.7959,235,35.35,255
MOS,-0.7643,51,35.3,256
SRPK2,-2.7403,226,35.2,257
MLK3,-2.8868,243,35.17,258
PASK,-3.3334,266,35.06,259
CDK13,-1.9052,148,35.04,260
ATM,-2.3205,184,34.89,261
DYRK1A,-2.6826,220,34.86,262
GAK,-3.3111,265,34.7,263
IKKB,-2.3039,182,34.56,264
CDK12,-3.1085,251,33.79,265
P38D,-3.1576,254,33.39,266
STLK3,-6.6149,308,33.26,267
GRK3,-1.9705,157,33.01,268
DAPK2,-1.4358,104,31.37,269
SRPK1,-2.5652,209,31.3,270
GRK5,-2.0831,163,31.23,271
MAPKAPK2,-3.7628,284,31.13,272
BMPR1B,-2.3688,191,30.92,273
HIPK2,-3.5218,277,30.85,274
SRPK3,-2.7637,230,30.45,275
CK1G3,-2.8243,238,30.25,276
SLK,-4.6266,299,29.93,277
AURA,-4.4335,297,29.83,278
CDK4,-3.8031,286,29.74,279
NLK,-1.2392,81,29.66,280
GRK2,-1.2566,85,28.92,281
PLK1,-3.0086,249,28.14,282
CDK1,-3.3352,267,27.91,283
DYRK4,-3.2497,261,27.76,284
PLK3,-3.3752,270,27.74,285
OSR1,-5.4375,303,27.47,286
VRK1,-4.8522,301,27.33,287
CK2A2,-5.4283,302,26.58,288
CLK1,-3.7023,282,26.22,289
PKN3,-1.8666,142,25.96,290
CK2A1,-5.5223,304,25.77,291
TTK,-6.0582,306,25.21,292
CLK4,-3.2426,260,25.15,293
ALK1,-2.1333,166,24.33,294
BMPR1A,-3.9834,291,23.92,295
PRP4,-3.0138,250,23.83,296
BMPR2,-0.8047,53,23.28,297
GRK1,-2.124,165,22.92,298
AAK1,-6.8115,309,22.32,299
TSSK3,-5.6659,305,21.27,300
PKR,-2.9583,245,18.8,301
ALK2,-3.46,271,17.76,302
CAMK2A,-3.5473,279,17.6,303
DLK,-2.3014,181,16.12,304
CLK2,-4.5778,298,15.15,305
ALK7,-2.5921,212,14.72,306
GSK3A,-1.3745,100,13.11,307
BIKE,-6.2945,307,9.94,308
ALPHAK3,-7.0502,310,6.14,309
VRK2,-3.685,281,5.43,310
